titulo,año,duracion,pais,directores,guionistas,musicos,fotografos,actores,productores,generos,nota,votos,votacion
Joker ,2019,121 min.,Estados Unidos,['Todd Phillips'],"['Todd Phillips', 'Scott Silver']",['Hildur Guðnadóttir'],['Lawrence Sher'],"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy', 'Brett Cullen', 'Bill Camp', 'Shea Whigham', 'Dante Pereira-Olson', 'Douglas Hodge', 'Jolie Chan', 'Bryan Callen', 'Brian Tyree Henry', 'Mary Kate Malat', 'Glenn Fleshler', 'Marc Maron', 'Josh Pais', 'Leigh Gill', 'Adrienne Lovette', 'Sharon Washington', 'Mandela Bellamy', 'David Iacono', 'Matthias Sebastiun Garry', ""Mick O'Rourke"", 'Evan Rosado', 'Caillou Pettis', 'Sondra James', 'Gary Gulman', 'Kim Brockington', 'Jamaal Burcher', 'John Cashin', 'Ryan Funigiello', 'Annie Pisapia', 'Ray Iannicelli', 'Tony D. Head', 'Scott Martin', 'Dj Nino Carta', 'Mark Lotito', 'Jason John Cicalese', 'Keith Buterbaught', 'Ray Rosario', 'Rose Maria Wilde', 'Ben Heyman', 'Emmanuel Rodriguez', 'Vincent Cucuzza', 'Celeste Pisapía', 'Marko Caka', 'Alexandra López Galán', 'Bob Leszczak', 'Rich Petrillo', 'Thomas W. Stewart']","['DC Comics', 'DC Entertainment', 'Warner Bros.', 'Village Roadshow', 'Bron Studios', 'Creative Wealth Media Finance', '22 & Indiana Pictures', 'Warner Bros.']","['Thriller', 'Drama', 'Crimen', 'DC Comics', 'Cómic', 'Payasos', 'Drama psicológico', 'Años 80']",8.0,69408.0,10
La ciudad de las estrellas (La La Land) ,2016,127 min.,Estados Unidos,['Damien Chazelle'],['Damien Chazelle'],['Justin Hurwitz'],['Linus Sandgren'],"['Emma Stone', 'Ryan Gosling', 'John Legend', 'Rosemarie Dewitt', 'J.K. Simmons', 'Finn Wittrock', 'Sonoya Mizuno', 'Jessica Rothe', 'Jason Fuchs', 'Callie Hernandez', 'Trevor Lissauer', 'Phillip E. Walker', 'Hemky Madera', 'Kaye L. Morris', 'Lexie Contursi']","['Summit Entertainment', 'Gilbert Films', 'Impostor Pictures', 'Marc Platt Productions']","['Musical', 'Romance', 'Comedia', 'Drama', 'Drama romántico', 'Música', 'Jazz', 'Cine dentro del cine']",7.5,58319.0,10
Halt and Catch Fire (Serie de TV),2014,60 min.,Estados Unidos,"['Christopher Cantwell', 'Christopher C. Rogers', 'Karyn Kusama', 'Juan José Campanella', 'Johan Renck', 'Ed Bianchi', 'Larysa Kondracki', 'Jon Amiel', 'Daisy von Scherler Mayer', 'Terry McDonough', 'Michael Morris', 'Kimberly Peirce', 'Jeff Freilich', 'Phil Abraham', 'Craig Zisk', 'Jake Paltrow', 'Tricia Brock', 'Reed Morano', 'Andrew McCarthy', 'Kim So-yong', 'Meera Menon', 'Stacie Passon']","['Christopher Cantwell', 'Christopher C. Rogers', 'Jason Cahill', 'Jonathan Lisco', 'Zack Whedon', 'Dahvi Waller', 'Jamie Pachino', 'Mark Lafferty', 'Alison Tatlock', 'Lisa Albert', 'Julia Cho', 'Angelina Burnett', 'Michael Saltzman']",['Paul Haslinger'],"['Nelson Cragg', 'Evans Brown', 'Jeff Jur']","['Lee Pace', 'Scoot McNairy', 'Mackenzie Davis', 'Kerry Bishé', 'Toby Huss', 'Aleksa Palladino', 'Annabeth Gish', 'Matthew Lillard', 'James Cromwell', 'Eric Goins', 'Bianca Malinowsk', 'Alana Cavanaugh', 'Scott Michael Foster', 'Morgan Hinkleman', 'August Emerson', 'Peter den Boer', 'Cooper Andrews', 'Gabriel Manak', 'Nick Pupo', ""Mark O'Brien"", 'Joshua Hoover', 'Kathryn Newton', 'Susanna Skaggs', 'J. Elijah Cho', 'Lily Donoghue', 'Chelsea Talmadge', 'Jona Xiao', ""Annette O'Toole"", 'Graham Beckel', 'Sasha Morfaw', 'Erin Cummings', 'Manish Dayal', 'Randy Havens', 'Charlie Bodin', 'Pete Burris', 'Anna Chlumsky', 'David Mackey']",['AMC Studios'],"['Serie de TV', 'Drama', 'Internet / Informática', 'Trabajo/empleo', 'Años 80', 'Años 90']",7.6,4517.0,10
BoJack Horseman (Serie de TV),2014,25 min.,Estados Unidos,"['Raphael Bob-Waksberg', 'JC Gonzalez', 'Amy Winfrey', 'Joel Moser', 'Martin Cendreda', 'Adam Parton', 'Mike Hollingsworth', 'Matt Mariska', 'Mike Roberts', 'Anne Walker Farrell', 'Aaron Long', 'Matt Garofalo', 'Otto Murga', 'Tim Rauch', 'Peter Merryman']","['Raphael Bob-Waksberg', 'Joe Lawson', 'Peter Knight', 'Elijah Aron', 'Jordan Young', 'Mehar Sethi', 'Vera Santamaria', 'Kate Purdy', 'Joanna Calo', 'Scott Chernoff', 'Alison Flierl', 'Kelly Galuska', 'Laura Gutin', 'Scott Marder', 'Caroline Williams', 'Alison Tafel', 'Nick Adams', 'Rachel Kaplan']","['Grouplove', 'Jesse Novak']","['ShadowMachine Films', 'Tornante Company', 'Netflix', 'Lisa Hanawalt', 'Netflix']",[],"['ShadowMachine Films', 'Tornante Company', 'Netflix', 'Lisa Hanawalt', 'Netflix']","['Serie de TV', 'Animación', 'Comedia', 'Drama', 'Comedia dramática', 'Comedia negra', 'Cine dentro del cine', 'Televisión', 'Animación para adultos', 'Caballos']",8.0,11520.0,10
It's Such a Beautiful Day (Película) ,2012,62 min.,Estados Unidos,['Don Hertzfeldt'],['Don Hertzfeldt'],['Varios'],['Don Hertzfeldt'],[],['Bitter Films'],"['Animación', 'Drama', 'Comedia dramática', 'Animación para adultos', 'Surrealismo', 'Cine experimental', 'Cine independiente USA', 'Enfermedad']",7.7,2781.0,10
Toy Story 3 ,2010,103 min.,Estados Unidos,['Lee Unkrich'],['Michael Arndt'],['Randy Newman'],"['Jeremy Lasky', 'Kim White']",[],"['Pixar Animation Studios', 'Walt Disney Pictures']","['Animación', 'Fantástico', 'Aventuras', 'Comedia', 'Infantil', 'Secuela', 'Muñecos', '3-D', 'Pixar', 'Cine familiar']",7.9,115948.0,10
Breaking Bad (Serie de TV),2008,45 min.,Estados Unidos,"['Vince Gilligan', 'Michelle MacLaren', 'Adam Bernstein', 'Vince Gilligan', 'Colin Bucksey', 'Michael Slovis', 'Bryan Cranston', 'Terry McDonough', 'Johan Renck', 'Rian Johnson', 'Scott Winant', 'Peter Gould', 'Tricia Brock', 'Bronwen Hughes', 'Tim Hunter', 'Jim McKay', 'Phil Abraham', 'John Dahl', 'Félix Enríquez Alcalá', 'Charles Haid', 'Peter Medak', 'John Shiban', 'David Slade', 'George Mastras', 'Thomas Schnauz', 'Sam Catlin']","['Vince Gilligan', 'Peter Gould', 'George Mastras', 'Sam Catlin', 'Moira Walley-Beckett', 'Thomas Schnauz', 'Gennifer Hutchison', 'John Shiban', 'J. Roberts', 'Patty Lin']",['Dave Porter'],"['Michael Slovis', 'Reynaldo Villalobos', 'Nelson Cragg', 'Peter Reniers']","['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Jonathan Banks', 'Giancarlo Esposito', 'Steven Michael Quezada', 'Jesse Plemons', 'Christopher Cousins', 'Laura Fraser', 'Matt Jones', 'Charles Baker', 'Michael Shamus Wiles', 'Lavell Crawford', 'Ray Campbell', 'Krysten Ritter', 'Ian Posada', 'Carmen Serano', 'Emily Rios', 'Tina Parker', 'Mark Margolis', 'Robert Forster', 'Caleb Landry Jones', 'Jeremiah Bitsui', 'David Costabile', 'Michael Bowen', 'Dale Dickey', 'Jere Burns', 'Steven Bauer', 'Daniel Moncada']","['Gran Via Productions', 'High Bridge Productions', 'Sony Pictures Television', 'AMC']","['Serie de TV', 'Thriller', 'Drama', 'Comedia negra', 'Drogas', 'Enfermedad', 'Policíaco']",8.8,102630.0,10
Mystic River ,2003,137 min.,Estados Unidos,['Clint Eastwood'],"['Brian Helgeland', 'Dennis Lehane']",['Clint Eastwood'],['Tom Stern'],"['Sean Penn', 'Tim Robbins', 'Kevin Bacon', 'Laurence Fishburne', 'Marcia Gay Harden', 'Laura Linney', 'Eli Wallach', 'Tom Guiry', 'Spencer Treat Clark', 'Emmy Rossum', 'Kevin Chapman', 'Adam Nelson', 'Cameron Bowen', 'Connor Paolo', 'John Doman']",['Warner Bros.'],"['Intriga', 'Drama', 'Crimen']",8.0,135926.0,10
Sleepy Hollow ,1999,105 min.,Estados Unidos,['Tim Burton'],"['Andrew Kevin Walker', 'Washington Irving']",['Danny Elfman'],['Emmanuel Lubezki'],"['Johnny Depp', 'Christina Ricci', 'Miranda Richardson', 'Michael Gambon', 'Casper Van Dien', 'Marc Pickering', 'Richard Griffiths', 'Ian McDiarmid', 'Jeffrey Jones', 'Christopher Walken', 'Michael Gough', 'Steven Waddington', 'Lisa Marie', 'Christopher Lee', 'Alun Armstrong', 'Claire Skinner', 'Martin Landau']","['Mandalay Pictures', 'Scott Rudin Productions', 'American Zoetrope']","['Intriga', 'Aventuras', 'Terror', 'Fantástico', 'Brujería', 'Fantasmas', 'Sobrenatural', 'Siglo XVIII']",6.9,85826.0,10
Titanic ,1997,195 min.,Estados Unidos,['James Cameron'],['James Cameron'],"['James Horner', 'Céline Dion', 'James Horner', 'Will Jennings']",['Russell Carpenter'],"['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane', 'Kathy Bates', 'Frances Fisher', 'Gloria Stuart', 'Bill Paxton', 'Bernard Hill', 'David Warner', 'Victor Garber', 'Jonathan Hyde', 'Suzy Amis', 'Danny Nucci', 'Jason Barry', 'Ewan Stewart', 'Ioan Gruffudd']","['Paramount Pictures', '20th Century Fox', 'Lightstorm Entertainment', 'James Cameron', '20th Century Fox']","['Romance', 'Drama', 'Aventuras', 'Drama romántico', 'Basado en hechos reales', '3-D', 'Catástrofes', 'Titanic', 'Cine épico']",6.8,180643.0,10
Seven (Se7en) ,1995,127 min.,Estados Unidos,['David Fincher'],['Andrew Kevin Walker'],['Howard Shore'],['Darius Khondji'],"['Brad Pitt', 'Morgan Freeman', 'Gwyneth Paltrow', 'Kevin Spacey', 'John C. McGinley', 'Richard Roundtree', 'R. Lee Ermey', 'Leland Orser', 'Richard Schiff', 'Julie Araskog', 'Mark Boone Junior', 'Daniel Zacapa', 'Richard Portnow', 'Bob Stephenson', 'John Cassini', 'Lennie Loftin', 'Reg E. Cathey', 'Michael Massee']","['New Line Cinema', 'Kopelson Entertainment']","['Thriller', 'Intriga', 'Crimen', 'Policíaco', 'Asesinos en serie', 'Película de culto', 'Neo-noir']",8.3,174377.0,10
El rey león ,1994,85 min.,Estados Unidos,"['Rob Minkoff', 'Roger Allers']","['Irene Mecchi', 'Jonathan Roberts', 'Linda Woolverton']","['Hans Zimmer', 'Elton John', 'Tim Rice']",['Walt Disney Pictures'],[],['Walt Disney Pictures'],"['Animación', 'Drama', 'Aventuras', 'Comedia', 'Musical', 'Infantil', 'África', 'Animales']",7.9,161434.0,10
Friends (Serie de TV),1994,20 min.,Estados Unidos,"['David Crane', 'Marta Kauffman', 'Gary Halvorson', 'Kevin Bright', 'Michael Lembeck', 'James Burrows', 'Gail Mancuso', 'Peter Bonerz', 'David Schwimmer', 'Ben Weiss', 'Robby Benson', 'Shelley Jensen', 'Terry Hughes', 'Dana De Vally Piazza', 'Sheldon Epps', 'Pamela Fryman', 'Alan Myerson', 'Thomas Schlamme', 'Steve Zuckerman', 'Roger Christiansen', 'Paul Lazarus', 'Ellen Falcon', 'Sam Simon', 'Arlene Sanford', 'Joe Regalbuto', 'Todd Holland', 'Stephen Prime', 'Andrew Tsao', 'David Steinberg', 'Mary Kay Place']","['David Crane', 'Marta Kauffman', 'Ted Cohen', 'Andrew Reich', 'Scott Silveri', 'Shana Goldberg-Meehan', 'Greg Malins', 'Sherry Bilsing', 'Ellen Kreamer', 'Adam Chase', 'Brian Buckner', 'Sebastian Jones', 'Seth Kurland', 'Alexa Junge', 'Michael Curtis', 'Wil Calhoun', 'Mark J. Kunerth', 'Ira Ungerleider', 'Doty Abrams', 'Dana Klein', 'Jeff Astrof', 'Mike Sikowitz', 'Michael Borkow', 'Robert Carlock', 'Gigi McCreery', 'Perry M. Rein', 'Brian Boyle', 'Jeff Greenstein', 'Jeff Strauss', 'Jill Condon', 'Amy Toomin', 'Zachary Rosenblatt', 'Chris Brown', 'Alicia Sky Varinaitis', 'Peter Tibbals']","['Michael Skloff', 'The Rembrandts']","['Mikel Neiers', 'Nick McLean', 'Richard Hissong', 'Reid Haessig', 'Ken Lamkin']","['Jennifer Aniston', 'Courteney Cox', 'Lisa Kudrow', 'Matt LeBlanc', 'Matthew Perry', 'David Schwimmer', 'James Michael Tyler', 'Elliott Gould', 'Paul Rudd', 'Giovanni Ribisi', 'Tom Selleck', 'Hank Azaria', 'Joanna Gleason', 'Bruce Willis', 'Michael Rapaport', 'Christina Pickles', 'Maggie Wheeler', 'Jane Sibbett', 'Helen Baxendale', 'Jessica Hecht', 'June Gable', 'Jon Favreau', 'Elle MacPherson', 'Anna Faris', 'Cole Sprouse', 'Bonnie Somerville', 'Aisha Tyler', 'Eddie Cahill', 'Lauren Tom', 'Larry Hankin', 'Amanda Carlin', 'Steven Eckholdt', 'Paget Brewster', 'Mitchell Whitfield', 'Debra Jo Rupp', 'Alec Baldwin', 'Christina Applegate', 'Jon Lovitz', 'Dermot Mulroney', 'Sean Penn', 'Teri Garr', 'Tate Donovan', 'Mike Hagerty', 'Steve Ireland', 'Ron Leibman', 'Alexandra Holden', 'Cynthia Mann', 'Kim Harris', 'Laura Dean', 'Cosimo Fusco', 'Jessica Wake', 'Alison La Placa', 'Adam Goldberg', 'Christine Taylor', 'Dina Meyer', 'Melissa George', 'Morgan Fairchild', 'Kathleen Turner']","['Warner Bros. Television', 'Bright/Kauffman/Crane Productions', 'NBC']","['Serie de TV', 'Comedia', 'Sitcom', 'Amistad']",8.2,142317.0,10
La lista de Schindler ,1993,195 min.,Estados Unidos,['Steven Spielberg'],"['Steven Zaillian', 'Thomas Keneally']",['John Williams'],['Janusz Kaminski'],"['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes', 'Caroline Goodall', 'Jonathan Sagall', 'Embeth Davidtz', 'Norbert Weisser', 'Martin S. Bergmann', 'Mark Ivanir', 'Malgorzata Gebel', 'Shmuel Levy', 'Michael Schneider', 'Joachim Paul Assböck', 'Branko Lustig', 'Götz Otto']","['Universal Pictures', 'Amblin Entertainment']","['Drama', 'Nazismo', 'Holocausto', 'Basado en hechos reales', 'II Guerra Mundial']",8.6,174298.0,10
La chaqueta metálica ,1987,120 min.,Reino Unido,['Stanley Kubrick'],"['Stanley Kubrick', 'Michael Herr', 'Gustav Hasford', 'Gustav Hasford']",['Vivian Kubrick'],['Douglas Milsome'],"['Matthew Modine', ""Vincent D'Onofrio"", 'R. Lee Ermey', 'Adam Baldwin', 'Arliss Howard', 'Dorian Harewood', 'Kevyn Major Howard', ""Ed O'Ross"", 'Gary Landon Mills', 'Sal López', 'John Stafford', 'Kieron Jecchinis', 'Ngoc Le', 'Papillon Soo Soo', 'Bruce Boa']",['Warner Bros.'],"['Bélico', 'Drama', 'Guerra de Vietnam', 'Ejército', 'Película de culto']",8.2,122457.0,10
Blade Runner ,1982,117 min.,Estados Unidos,['Ridley Scott'],"['David Webb Peoples', 'Hampton Fancher', 'Philip K. Dick']",['Vangelis'],['Jordan Cronenweth'],"['Harrison Ford', 'Rutger Hauer', 'Sean Young', 'Daryl Hannah', 'Edward James Olmos', 'Joanna Cassidy', 'Brion James', 'Joe Turkel', 'M. Emmet Walsh', 'William Sanderson', 'James Hong', 'Morgan Paull', 'Hy Pyke']","['Warner Bros.', 'Ladd Company', 'Shaw Brothers']","['Ciencia ficción', 'Acción', 'Neo-noir', 'Thriller futurista', 'Cyberpunk', 'Distopía', 'Robots', 'Película de culto']",8.1,136125.0,10
El hombre elefante ,1980,125 min.,Estados Unidos,['David Lynch'],"['David Lynch', 'Eric Bergren', 'Christopher De Vore', 'John Merrick']",['John Morris'],['Freddie Francis'],"['Anthony Hopkins', 'John Hurt', 'Anne Bancroft', 'John Gielgud', 'Wendy Hiller', 'Freddie Jones', 'Dexter Fletcher']","['Paramount Pictures', 'Mel Brooks']","['Drama', 'Biográfico', 'Enfermedad', 'Discapacidad', 'Siglo XIX', 'Película de culto']",8.1,42610.0,10
2001: Una odisea del espacio ,1968,139 min.,Reino Unido,['Stanley Kubrick'],"['Stanley Kubrick', 'Arthur C. Clarke', 'Arthur C. Clarke']","['Richard Strauss', 'Johann Strauss', 'György Ligeti', 'Aram Khachaturyan']",['Geoffrey Unsworth'],"['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Daniel Richter', 'Leonard Rossiter', 'Margaret Tyzack', 'Robert Beatty', 'Sean Sullivan', 'Penny Brahms', 'Alan Gifford', 'Vivian Kubrick', 'Douglas Rain']","['Metro-Goldwyn-Mayer (MGM)', 'Stanley Kubrick Production']","['Ciencia ficción', 'Aventura espacial', 'Internet / Informática', 'Película de culto']",7.8,114863.0,10
Matar a un ruiseñor ,1962,129 min.,Estados Unidos,['Robert Mulligan'],"['Horton Foote', 'Harper Lee']",['Elmer Bernstein'],['Russell Harlan'],"['Gregory Peck', 'Mary Badham', 'Brock Peters', 'Phillip Alford', 'John Megna', 'Frank Overton', 'Rosemary Murphy', 'Robert Duvall']","['Pakula-Mulligan Production', 'Brentwood Production', 'Universal Pictures']","['Drama', 'Drama judicial / Abogados/as', 'Drama sureño', 'Racismo', 'Infancia', 'Vida rural (Norteamérica)']",8.3,48608.0,10
Psicosis ,1960,109 min.,Estados Unidos,['Alfred Hitchcock'],"['Joseph Stefano', 'Robert Bloch']",['Bernard Herrmann'],['John L. Russell'],"['Anthony Perkins', 'Janet Leigh', 'John Gavin', 'Vera Miles', 'John McIntire', 'Martin Balsam', 'Simon Oakland', 'Patricia Hitchcock']",['Paramount Pictures'],"['Terror', 'Intriga', 'Thriller', 'Asesinos en serie', 'Slasher', 'Thriller psicológico', 'Película de culto']",8.4,108789.0,10
Senderos de gloria ,1957,86 min.,Estados Unidos,['Stanley Kubrick'],"['Stanley Kubrick', 'Calder Willingham', 'Jim Thompson', 'Humphrey Cobb']",['Gerald Fried'],['Georg Krause'],"['Kirk Douglas', 'George Macready', 'Adolphe Menjou', 'Ralph Meeker', 'Wayne Morris', 'Joe Turkel', 'Richard Anderson', 'Timothy Carey', 'Peter Capell', 'Christiane Kubrick', 'Bert Freed', 'Emile Meyer']","['Bryna Productions', 'Metro-Goldwyn-Mayer (MGM)']","['Bélico', 'Drama', 'I Guerra Mundial', 'Ejército', 'Película de culto']",8.4,55924.0,10
Doce hombres sin piedad ,1957,95 min.,Estados Unidos,['Sidney Lumet'],"['Reginald Rose', 'Reginald Rose']",['Kenyon Hopkins'],['Boris Kaufman'],"['Henry Fonda', 'Lee J. Cobb', 'Jack Warden', 'E.G. Marshall', 'Martin Balsam', 'Ed Begley', 'John Fiedler', 'Robert Webber', 'Jack Klugman', 'George Voskovec', 'Joseph Sweeney', 'Edward Binns', 'Billy Nelson', 'John Savoca', 'Rudy Bond', 'James Kelly']","['Metro-Goldwyn-Mayer (MGM)', 'Orion-Nova Productions']","['Drama', 'Intriga', 'Drama judicial / Abogados/as']",8.7,70179.0,10
La noche del cazador ,1955,93 min.,Estados Unidos,['Charles Laughton'],"['James Agee', 'Davis Grubb']",['Walter Schumann'],['Stanley Cortez'],"['Robert Mitchum', 'Billy Chapin', 'Sally Ann Bruce', 'Shelley Winters', 'Lillian Gish', 'Peter Graves', 'Evelyn Varden', 'James Gleason']",['United Artists'],"['Intriga', 'Drama', 'Cine negro', 'Thriller', 'Vida rural (Norteamérica)', 'Drama sureño', 'Infancia']",8.1,31360.0,10
La parada de los monstruos ,1932,64 min.,Estados Unidos,['Tod Browning'],"['Willis Goldbeck', 'Leon Gordon', 'Al Boasberg', 'Tod Robbins']",['Jacques Offenbach'],['Merrit B. Gerstad'],"['Wallace Ford', 'Leila Hyams', 'Olga Baclanova', 'Roscoe Ates', 'Henry Victor', 'Harry Earles', 'Daisy Earles', 'Rose Dione', 'Daisy Hilton', 'Violet Hilton', 'Schlitze', 'Josephine Joseph', 'Johnny Eck', ""Frances O'Connor"", 'Peter Robinson', 'Olga Roderick', 'Angelo Rossitto']",['Metro-Goldwyn-Mayer (MGM)'],"['Drama', 'Terror', 'Discapacidad', 'Circo', 'Película de culto']",8.2,23211.0,10
Luces de la ciudad ,1931,81 min.,Estados Unidos,['Charles Chaplin'],['Charles Chaplin'],['Charles Chaplin'],"['Roland Totheroh', 'Gordon Pollock']","['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee', 'Harry Myers', 'Allan Garcia', 'Hank Mann', 'Jack Alexander', 'Tom Dempsey', 'Henry Bergman']",['United Artists'],"['Comedia', 'Romance', 'Cine mudo', 'Pobreza', 'Comedia romántica', 'Comedia dramática', 'Discapacidad', 'Discapacidad visual']",8.6,32742.0,10
The Last of Us (Serie de TV),2023,50 min.,Estados Unidos,"['Craig Mazin', 'Neil Druckmann', 'Craig Mazin', 'Neil Druckmann', 'Ali Abbasi', 'Jeremy Webb', 'Peter Hoar', 'Jasmila Zbanic', 'Liza Johnson']","['Craig Mazin', 'Neil Druckmann', 'Naughty Dog']","['Gustavo Santaolalla', 'Dave Fleming']","['Ksenia Sereda', 'Eben Bolter', 'Nadim Carlsen']","['Pedro Pascal', 'Bella Ramsey', 'Anna Torv', 'Gabriel Luna', 'Merle Dandridge', 'Storm Reid', 'Melanie Lynskey', 'Scott Shepherd', 'John Hannah', 'Nico Parker', 'Nick Offerman', 'Jeffrey Pierce', 'Murray Bartlett', 'Elaine Miles', ""Con O'Neill"", 'Natasha Mumba', 'Lamar Johnson', 'Keivonn Woodard', 'Marlee Grace Becker', 'Ashley Johnson', 'Troy Baker', 'Kevin Sateri', 'Brad Leland', 'Graham Greene', 'Brendan Fletcher', 'Max Montesi', 'Rutina Wesley', 'Taylor St. Pierre', 'Pardeep Singh Sooch', 'Connor Stanhope', 'Nelson Leis', 'Riley Davis', 'Arielle Rombough', 'Sonia Maria Chirila', 'Autumn T. Dang', 'James Hibbard', 'Paolina van Kleef', 'Ana Rice', 'Andrea Greening', 'Alan Chamout', 'Jason Burkart', 'Craig Haas', 'Noah Crawford', 'Autumn Thom', 'Gina Phillips', 'Laura Bailey']","['PlayStation Productions', 'Sony Pictures Television', 'Naughty Dog', 'The Mighty Mint', 'Word Games', 'Craig Mazin', 'Neil Druckmann', 'Asad Qizilbash', 'HBO', 'HBO Max']","['Serie de TV', 'Terror', 'Drama', 'Ciencia ficción', 'Thriller', 'Acción', 'Futuro postapocalíptico', 'Pandemias', 'Videojuego']",7.8,14818.0,9
Stranger Things 4 (Serie de TV),2022,75 min.,Estados Unidos,"['Matt Duffer', 'Ross Duffer', 'Matt Duffer', 'Ross Duffer', 'The Duffer Brothers', 'Shawn Levy', 'Nimród Antal']","['The Duffer Brothers', 'Caitlin Schneiderhan', 'Paul Dichter', 'Kate Trefry', 'Curtis Gwinn']","['Kyle Dixon', 'Michael Stein']",['Tim Ives'],"['Millie Bobby Brown', 'Finn Wolfhard', 'David Harbour', 'Winona Ryder', 'Sadie Sink', 'Gaten Matarazzo', 'Caleb McLaughlin', 'Joseph Quinn', 'Noah Schnapp', 'Matthew Modine', 'Dacre Montgomery', 'Charlie Heaton', 'Natalia Dyer', 'Robert Englund', 'Joe Keery', 'Cara Buono', 'Maya Hawke', 'Amybeth McNulty', 'Myles Truitt', 'Regina Ting Chen', 'Grace Van Dien', 'Brett Gelman', 'Paul Reiser', 'Priah Ferguson', 'Eduardo Franco', 'Jamie Campbell Bower']","['Netflix', '21 Laps Entertainment', 'Netflix']","['Serie de TV', 'Fantástico', 'Aventuras', 'Secuela', 'Años 80', 'Monstruos']",7.5,13130.0,9
30 monedas (Serie de TV),2020,60 min.,España,"['Álex de la Iglesia', 'Álex de la Iglesia']","['Álex de la Iglesia', 'Jorge Guerricaechevarría']",['Roque Baños'],['Pablo Rosso'],"['Eduard Fernández', 'Megan Montaner', 'Miguel Ángel Silvestre', 'Macarena Gómez', 'Manolo Solo', 'Najwa Nimri', 'Carmen Machi', 'Antonio Velázquez', 'Secun De La Rosa', 'Paco Tous', 'Javier Bódalo', 'Pepón Nieto', 'Jaime Ordóñez', 'Francisco Reyes', 'Mafalda Carbonell', 'Julián Valcárcel', 'Víctor Clavijo', 'Abril Montilla', 'Mariana Achim', 'Cosimo Fusco', 'Bianca Kovacs', 'Johnny Melville', 'Riccardo Frascari', 'Nourdin Batan', 'Oscar Garcia Martin', 'Leonardo Nigro', 'Manuel Tallafé', 'Mariano Venancio', 'Enrique Martínez', 'José Alias', 'Carla Tous', 'Antonio Durán', 'Carla Campra', 'Nacho Braun', 'Elisa Matilla', 'Nuria González', 'Greta Fernández', 'Jorge Andreu', 'Noureddine El Attab']","['Pokeepsie Films', 'Greenlit Productions', 'HBO España', 'HBO']","['Serie de TV', 'Thriller', 'Fantástico', 'Terror', 'Sobrenatural', 'Religión']",6.3,13185.0,9
¿Qué co#o está pasando? ,2019,86 min.,España,"['Marta Jaenes', 'Rosa Márquez']",['Alberto Morago'],"['Haizea Alvarez', 'Patricia Aranguren', 'Laura Baena', 'Resurrección Barahona', 'Maribel Blázquez', 'Rosa María Calaf', 'Isa Calderón', 'Angela Cariddi', 'Rosa Cobo', 'Yolanda Domínguez', 'María Durán', 'Lidia Falcón', 'Lorena Fernández', 'Pepi Fernández', 'Alba Ferrara', 'Ana Ferrer', 'Marta Flich', 'María Fernández Galán', 'Cristina Hernández', 'Marta Fernández Herráiz', 'Becky Jaráiz', 'Penny Jay', 'María José Jiménez', 'Leyre Khyal', 'Adriana Lastra', 'Andrea Levy', 'Eva Levy', 'Iria Marañón', 'Ana de Miguel', 'Jadiyetu Mohtar', 'Irene Montero', 'Justa Montero', 'Vera Montessori', 'Anneke Necro', 'Dianela Padrón', 'Rafaela Pimentel', 'Soledad Puértolas', 'Loola Pérez', 'Inma Rodríguez', 'Elsa Ruiz', 'Eva Serrano', 'Amelia Tiganus', 'Nuria Varela', 'Begoña Villacís', 'Henar Álvarez']","['Pokeepsie Films', 'The Other Side Films', 'Netflix España', 'Netflix']","['Haizea Alvarez', 'Patricia Aranguren', 'Laura Baena', 'Resurrección Barahona', 'Maribel Blázquez', 'Rosa María Calaf', 'Isa Calderón', 'Angela Cariddi', 'Rosa Cobo', 'Yolanda Domínguez', 'María Durán', 'Lidia Falcón', 'Lorena Fernández', 'Pepi Fernández', 'Alba Ferrara', 'Ana Ferrer', 'Marta Flich', 'María Fernández Galán', 'Cristina Hernández', 'Marta Fernández Herráiz', 'Becky Jaráiz', 'Penny Jay', 'María José Jiménez', 'Leyre Khyal', 'Adriana Lastra', 'Andrea Levy', 'Eva Levy', 'Iria Marañón', 'Ana de Miguel', 'Jadiyetu Mohtar', 'Irene Montero', 'Justa Montero', 'Vera Montessori', 'Anneke Necro', 'Dianela Padrón', 'Rafaela Pimentel', 'Soledad Puértolas', 'Loola Pérez', 'Inma Rodríguez', 'Elsa Ruiz', 'Eva Serrano', 'Amelia Tiganus', 'Nuria Varela', 'Begoña Villacís', 'Henar Álvarez']","['Pokeepsie Films', 'The Other Side Films', 'Netflix España', 'Netflix']","['Documental', 'Feminismo', 'Entrevista']",6.8,973.0,9
