titulo,año,duracion,pais,directores,guionistas,musicos,fotografos,actores,productores,generos,nota,votos,votacion
Tenet ,2020,150 min.,Reino Unido,['Christopher Nolan'],['Christopher Nolan'],['Ludwig Göransson'],['Hoyte van Hoytema'],"['John David Washington', 'Robert Pattinson', 'Elizabeth Debicki', 'Kenneth Branagh', 'Dimple Kapadia', 'Aaron Taylor-Johnson', 'Michael Caine', 'Clémence Poésy', 'Martin Donovan', 'Himesh Patel', 'Andrew Howard', 'Yuri Kolokolnikov', 'Fiona Dourif', 'Jonathan Camp', 'Wes Chatham', 'Marcel Sabat', 'Anthony Molinari', 'Rich Ceraulo', 'Katie McCabe', 'Mark Krenik', 'Denzil Smith', 'Bern Collaco', 'Laurie Shepherd']","['Syncopy Production', 'Warner Bros.', 'Warner Bros.']","['Thriller', 'Acción', 'Ciencia ficción', 'Espionaje', 'Viajes en el tiempo']",6.3,33617.0,7
Patria (Miniserie de TV),2020,55 min.,España,"['Aitor Gabilondo', 'Félix Viscarret', 'Óscar Pedraza']","['Aitor Gabilondo', 'Fernando Aramburu']",['Fernando Velázquez'],"['Álvaro Gutiérrez', 'Diego Dussuel']","['Elena Irureta', 'Ane Gabaraín', 'Loreto Mauleón', 'Susana Abaitua', 'Mikel Laskurain', 'José Ramón Soroiz', 'Jon Olivares', 'Eneko Sagardoy', 'Iñigo Aranbarri', 'Javier Beltrán', 'Alvar Gordejuela', 'Nagore Aranburu', 'Manuel Morón', 'Alba Brunet', 'Jesús Gallo', 'Begoña Maestre', 'Bruno Martín', 'María Isabel Díaz', 'Marcel Borrás', 'Lander Otaola', 'Fernando Guallar', 'Mario Mayo', 'Patxi Santamaria', 'Johanna Wallmeier', 'Adolfo Fernández', 'Txema Blasco', 'Carlos Serrano', 'Mikele Urroz', 'Belén Cruz', 'Chechu Salgado', 'Simón Ramos', 'Naiara Carmona', 'Loli Astoreka', 'Iñigo de la Iglesia', 'Leire Zuazua']","['HBO España', 'Alea Media', 'HBO España']","['Serie de TV', 'Drama', 'Terrorismo', 'ETA', 'Miniserie de TV']",7.9,19248.0,7
Akelarre ,2020,90 min.,España,['Pablo Agüero'],"['Pablo Agüero', 'Katell Guillou']","['Maite Arroitajauregi', 'Aránzazu Calleja']",['Javier Agirre Erauso'],"['Amaia Aberasturi', 'Àlex Brendemühl', 'Daniel Fanego', 'Jone Laspiur', 'Daniel Chamorro', 'Iñigo de la Iglesia', 'Yune Nogueiras', 'Elena Uriz', 'Asier Oruesagasti', 'Garazi Urkola', 'Irati Saez de Urabain', 'Lorea Ibarra']","['Sorgin Films', 'Tita Productions', 'Kowalski Films', 'Lamia Producciones', 'La Fidèle Production']","['Drama', 'Siglo XVII', 'Brujería']",6.1,9770.0,7
Possessor Uncut ,2020,104 min.,Canadá,['Brandon Cronenberg'],['Brandon Cronenberg'],['Jim Williams'],['Karim Hussain'],"['Andrea Riseborough', 'Christopher Abbott', 'Jennifer Jason Leigh', 'Sean Bean', 'Tuppence Middleton', 'Kaniehtiio Horn', 'Rossif Sutherland', 'Christopher Jacot', 'Hanneke Talbot', 'Raoul Bhaneja', 'Deragh Campbell', 'Gage Graham-Arbuthnot', 'Ayesha Mansur Gonsalves', 'Kelsey Klippenstein', 'Megan Vincent', 'Kathy Maloney', 'Daniel Park', 'Danny Waugh', 'Dorren Lee', 'Matthew Garlick']","['Rhombus Media', 'Rook Films', 'Particular Crowd']","['Ciencia ficción', 'Terror', 'Thriller', 'Gore', 'Thriller futurista', 'Thriller psicológico']",6.0,3665.0,7
1917 ,2019,119 min.,Reino Unido,['Sam Mendes'],"['Sam Mendes', 'Krysty Wilson-Cairns']",['Thomas Newman'],['Roger Deakins'],"['George MacKay', 'Dean-Charles Chapman', 'Mark Strong', 'Richard Madden', 'Benedict Cumberbatch', 'Colin Firth', 'Andrew Scott', 'Daniel Mays', 'Adrian Scarborough', 'Jamie Parker', 'Nabhaan Rizwan', 'Justin Edwards', 'Gerran Howell', 'Richard McCabe', 'Robert Maaser', 'Claire Duburcq', 'John Hollingworth', 'Anson Boon', 'Jonny Lavelle', 'Michael Jibson', 'Chris Walley', 'Pip Carter', 'Paul Tinto', 'Andy Apollo', 'William Postlethwaite', 'Gabriel Akuwudike', 'Josef Davies', 'Spike Leighton', 'Adam Hugill', 'Benjamin Adams', 'Tommy French', 'Merlin Leonhardt', 'Jos Slovick', 'Jack Shalloo', 'Elliot Edusah', 'Jacob James Beswick', 'Daniel Attwell', 'Samson Cox-Vinell', 'Michael Rouse', 'Richard Dempsey', 'Phil Cheadle', 'Jonah Russell']","['Amblin Partners', 'Neal Street Productions', 'DreamWorks SKG', 'New Republic Pictures', 'Universal Pictures']","['Bélico', 'Drama', 'I Guerra Mundial']",7.7,48965.0,7
El increíble finde menguante ,2019,93 min.,España,['Jon Mikel Caballero'],['Jon Mikel Caballero'],['Luis Hernaiz'],['Tânia da Fonseca'],"['Iria del Río', 'Adam Quintero', 'Nadia de Santiago', 'Jimmy Castro', 'Adrián Expósito', 'Irene Ruiz', 'Luis Tosar']","['Montreux Entertaiment', 'Trepamuros Producciones']","['Drama', 'Fantástico', 'Bucles temporales', 'Comedia dramática']",5.5,2481.0,7
The Bay (Serie de TV),2019,60 min.,Reino Unido,"['Lee Haven Jones', 'Robert Quinn']",['Daragh Carville'],['Samuel Sim'],['Ryan Kernaghan'],"['Jonas Armstrong', 'Tracie Bennett', 'Morven Christie', 'Lindsey Coulson', 'Chanel Cresswell', 'Louis Greatorex', 'Simran Kaur Mundi']","['Independent Television (ITV)', 'Tall Story Pictures']","['Serie de TV', 'Drama']",6.3,212.0,7
The Boys (Serie de TV),2019,60 min.,Estados Unidos,"['Evan Goldberg', 'Seth Rogen', 'Eric Kripke', 'Dan Trachtenberg', 'Jennifer Phang', 'Philip Sgriccia', 'Daniel Attias', 'Stefan Schwartz', 'Fred Toye', 'Matt Shakman', 'Eric Kripke', 'Sarah Boyd', 'Steve Boyum', 'Liz Friedlander', 'Alex Graves', 'Batan Silva']","['Eric Kripke', 'Anne Cofell Saunders', 'Ellie Monahan', 'Evan Goldberg', 'Phil Hay', 'Matt Manfredi', 'Garth Ennis', 'Seth Rogen', 'Craig Rosenberg', 'Anslem Richardson', 'Rebecca Sonnenshine', 'Geoff Aull', 'George Mastras', None]",['Christopher Lennertz'],"['Jeremy Benning', 'Dylan Macleod', 'Evans Brown', 'Jeff Cutter', 'Dan Stoloff']","['Karl Urban', 'Jack Quaid', 'Antony Starr', 'Erin Moriarty', 'Elisabeth Shue', 'Laz Alonso', 'Tomer Kapon', 'Chace Crawford', 'Jessie T. Usher', 'Dominique McElligott', 'Simon Pegg', 'Jennifer Esposito', 'Colby Minifie', 'Jensen Ackles', 'Jess Salgueiro', 'Brittany Allen', 'Bruce Novakowski', 'Sarah Camacho', 'Jaiden Cannatelli', 'Brittany Drisdelle', 'Karen Fukuhara', 'Haley Joel Osment', 'Aya Cash', 'Alanna LeVierge', 'Nathan Mitchell', 'Jim Pagiamtzis', 'Lovina Yavari', 'Jhonattan Ardila', 'Christian Bako', 'Abraham D. Juste', 'Stephannie Hawkins', 'Andrea Houssin', 'Akiel Julien', 'Aniko Kaszas', 'Anna Khaja', 'Callum Shoniker', 'Giancarlo Esposito']","['Amazon Studios', 'Original Film', 'Point Grey Pictures', 'Sony Pictures Television', 'Evan Goldberg', 'Seth Rogen', 'Amazon Studios']","['Serie de TV', 'Fantástico', 'Acción', 'Drama', 'Comedia', 'Superhéroes', 'Comedia negra']",7.7,24980.0,7
Ad Astra ,2019,122 min.,Estados Unidos,['James Gray'],"['James Gray', 'Ethan Gross']","['Max Richter', 'Lorne Balfe']",['Hoyte van Hoytema'],"['Brad Pitt', 'Tommy Lee Jones', 'Donald Sutherland', 'Ruth Negga', 'Liv Tyler', 'John Finn', 'Kayla Adams', 'Kimmy Shields', 'Bayardo De Murguia', 'Bobby Nish', 'Sasha Compère', 'Afsheen Olyaie', 'John Ortiz', 'Greg Bryk', 'Kimberly Elise', 'Loren Dean', 'Alyson Reed', 'Anne McDaniels', 'Ravi Kapoor', 'Lisa Gay Hamilton', 'Halszka Kuza']","['Plan B Entertainment', 'Regency Enterprises', 'Keep Your Head Productions', 'MadRiver Pictures', '20th Century Fox', 'Regency Enterprises', 'RT Features', 'Bona Film Group', '20th Century Fox']","['Ciencia ficción', 'Drama', 'Thriller', 'Aventura espacial', 'Supervivencia']",5.8,27532.0,7
El hoyo ,2019,94 min.,España,['Galder Gaztelu-Urrutia'],"['David Desola', 'Pedro Rivero']",['Aránzazu Calleja'],['Jon D. Domínguez'],"['Ivan Massagué', 'Zorion Eguileor', 'Antonia San Juan', 'Emilio Buale', 'Alexandra Masangkay', 'Eric Goode', 'Algis Arlauskas', 'Miriam Martín', 'Óscar Oliver']","['Basque Films', 'Mr Miyagi Films', 'RTVE', 'ETB', 'Zentropa International Spain', 'Eusko Jaurlaritza', 'ICAA', 'Consejería de Cultura del Gobierno Vasco', 'Instituto de Crédito Oficial (ICO)']","['Ciencia ficción', 'Thriller', 'Distopía', 'Supervivencia', 'Gore']",6.4,38418.0,7
